timestamp,ms_played,track_name,artist_name,album_name,track_uri
2012-07-06T00:57:51Z,370385,Dear John,Taylor Swift,Speak Now,spotify:track:7hZuICN5eaCuQyp443RCt6
2012-07-06T01:01:52Z,240760,Speak Now,Taylor Swift,Speak Now,spotify:track:24DefNCFiWTP8OjYWiXuYe
2012-07-08T04:26:48Z,237475,My Homies Still,Lil Wayne,My Homies Still,spotify:track:3bGZi53xMWP1J6lHxJ0IpN
2012-07-14T22:53:24Z,228466,Landslide,The Chicks,Home,spotify:track:5hviCr3lgg6LY6noG6DPKs
2012-07-17T00:24:06Z,213680,So Yesterday,Hilary Duff,Metamorphosis,spotify:track:3deJiRFSTnLYOJ8JDmYAmq
2012-07-22T20:49:09Z,226106,Let's Go - Radio Edit - feat. Ne-Yo,Calvin Harris,Let's Go,spotify:track:60NgMTkfSGmcMUModciLN4
2012-07-22T21:08:56Z,239186,No Lie,2 Chainz,No Lie,spotify:track:4TyY4vah59nsckspWdSGPn
2012-07-22T21:23:31Z,228200,We Run The Night,Havana Brown,We Run The Night,spotify:track:0mtPNQl5vePVwiI9Vykp7L
2012-07-22T21:31:09Z,205680,"Back in Time - featured in ""Men In Black 3""",Pitbull,Back in Time,spotify:track:2U2ONBrf1HJCDxQlynpD6J
2012-07-22T21:35:09Z,238760,Cashin' Out,Ca$h Out,Cashin' Out,spotify:track:1POAx4NMLOBPVKZUSsBh92
2012-07-28T09:53:39Z,254493,Halfcrazy,Musiq Soulchild,Juslisen,spotify:track:0QM7tqGYDPvYbMAwlbEvJD
2012-07-28T09:59:17Z,337800,Destiny,Zero 7,Simple Things,spotify:track:4AbebkmT3gki68JlHVddr3
2012-07-28T10:07:12Z,202360,Love To Love You Baby - Single Edit,Donna Summer,The Journey: The Very Best Of Donna Summer,spotify:track:5BHeX3NPu8hwtkBsiIuCA6
2012-07-28T10:12:24Z,251379,Love Scene (Ooh Baby),Janet Jackson,All For You,spotify:track:1xBQC98khZTFOjf39WpGRd
2012-07-28T10:17:01Z,276066,So Anxious,Ginuwine,100% Ginuwine,spotify:track:2zbjlcLi1VQWqDNYdhyx1l
2012-07-28T10:23:39Z,397800,International Lover,Prince,1999,spotify:track:7AFxCS5OHNvZgD2qceIc5Q
2012-07-28T10:27:38Z,217840,Off Your Hands,Tank,This Is How I Feel,spotify:track:7avKiPFWuZOTYwASVeoUHg
2012-07-28T10:33:36Z,356960,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,Meant To Be Mint,spotify:track:18sytW2s53Of6NVudQyUlH
2012-07-28T10:38:14Z,277840,Southside,Lloyd,Southside,spotify:track:7lurcq2Yw96B1K0KOJAHxg
2012-07-28T10:43:01Z,285698,Turn off the Lights (Re-Recorded / Remastered),Teddy Pendergrass,The Very Best Of Teddy Pendergrass,spotify:track:6FwpgyYLIlGCEC9tsdIAF2
2012-07-28T10:51:50Z,231320,All Of The Night,Kelly Rowland,Here I Am,spotify:track:5oGNeOY7P9T9jvDuYjy3fl
2012-07-28T10:56:45Z,210586,Nasty Girl,Deep Threat featuring Nakeitha,Deep Threat,spotify:track:4KbIuUyV4Egvzfs5nhvyFW
2012-07-28T11:05:54Z,346746,Imagination/Crown Royal Suite,Jill Scott,The Real Thing: Words And Sounds Vol. 3,spotify:track:2wWJDCXw76f7s1EqaNCYps
2012-07-28T11:10:21Z,266306,Wet The Bed (feat. Ludacris),Chris Brown,F.A.M.E.,spotify:track:6c4w7qJd1gTmr90spDfUyM
2012-07-28T11:15:49Z,295600,Can U Get Wit It,USHER,Usher,spotify:track:5oDDFHXz3YfhkmyPeOuFxV
